Changes to the signals,Mean resolution (mm),Resolution uncertainty (mm),Mean contrast (mm),Contrast uncertainty (mm)
Sampling frequency factor: 2,1.9968461075201787,0.21852907718869782,0.32398498,0.029449283599648164
Sampling frequency factor: 8,2.0545830329172654,0.151213911220023,0.31804016,0.032402841862671165
Sampling frequency factor: 10,1.8682264904512351,0.14786847192550714,0.38547817,0.04095698893070221
Sampling frequency factor: 50,2.0824098718514716,0.030677965008689658,0.35075715,0.04244467243552208
Sampling frequency factor: 100,2.542408231050866,0.4561030352610818,0.36461934,0.057847566100169646
Sampling frequency factor: 200,15.023180996327817,9.358317510284998,0.40488833,0.05486462843891992
Sampling frequency factor: 500,11.784163774318378,4.283800726622159,0.38758853,0.04703894476258418
Low-pass filter cutoff frequency: 15000 Hz,2.000326929357558,0.12840921145801099,0.36378598048904665,0.024978706659425347
Low-pass filter cutoff frequency: 10000 Hz,1.9523735786519638,0.10921043145905292,0.3828089824732108,0.024553099887948533
Low-pass filter cutoff frequency: 8000 Hz,1.9647410788003918,0.10710234314690019,0.38916997029233885,0.024800128468186067
Low-pass filter cutoff frequency: 5000 Hz,2.0112125052370198,0.09727748572244437,0.40335321102033544,0.02470958479932549
Low-pass filter cutoff frequency: 1000 Hz,2.5107259445777808,0.23149553768924305,0.3511523618196351,0.034556598948987216
Low-pass filter cutoff frequency: 500 Hz,4.147076380308264,0.0,0.330815785226761,0.0
Number of bits: 16,2.017797092709399,0.13401146027387523,0.3507434754367637,0.024647380172992905
Number of bits: 12,2.0175997237813474,0.1338019689295168,0.35074211074471207,0.02464558253889861
Number of bits: 8,2.0109367728008904,0.13141858144308982,0.34869367534863865,0.024503636831142424
Number of bits: 5,4.192667890959464,1.891358081940381,0.2963213170491464,0.025434440289044277
Number of bits: 4,6.892987869122116,3.931907207368286,0.3498740979383353,0.05432386166575507
Number of bits: 3,9.575258600672212,5.523801169528407,0.5805342478785153,0.08503653930064162
Number of bits: 2,2.4505092323314615,0.0,1.1117555387904068,0.0
Number of bits: 1,1.919552347827972,0.0,1.182741908058197,0.0
